name_hotel,location_hotel,Free_Wifi_hotel,rating_hotel_num,rating_hotel_text,rating_hotel_qty,normal_price_hotel,discount_hotel,discount_price_hotel,reward_point_hotel,room,date
Maple Hotel Grogol,Jakarta Barat,Free Wifi,8.4,Luar Biasa,124,708.000,31,292.800,234,1,08-12-2021
Juno Jatinegara ,Jakarta Timur,Free Wifi,8.8,Luar Biasa,55,500.000,26,259.622,207,1,08-12-2021
Oakwood PIK ,Jakarta Utara,Free Wifi,8.7,Luar Biasa,6,2.000.000,16,1.344.000,1075,1,08-12-2021
N2 Hotel Gunung Sahari,Jakarta Pusat,Free Wifi,8.0,Sangat Baik,38,374.692,35,146.130,116,1,08-12-2021
Kimaya Slipi ,Jakarta Barat,Free Wifi,,,,474.998,5,383.562,306,1,08-12-2021
Asyana Kemayoran ,Jakarta Pusat,Free Wifi,8.6,Luar Biasa,16,832.123,35,324.528,259,1,08-12-2021
W Home Express Tebet,Jakarta Selatan,Free Wifi,8.7,Luar Biasa,8,284.030,5,202.372,161,1,08-12-2021
Grand Whiz Poins Simatupang ,Jakarta Selatan,Free Wifi,8.9,Luar Biasa,226,850.000,25,512.131,409,1,08-12-2021
Verse Luxe Hotel Wahid Hasyim,Jakarta Pusat,Free Wifi,8.6,Luar Biasa,54,1.559.455,5,1.037.038,829,1,08-12-2021
Whiz Hotel Cikini ,Jakarta Pusat,Free Wifi,8.2,Luar Biasa,110,600.000,34,317.200,253,1,08-12-2021
Hotel Horison Ciledug ,Jakarta Selatan,Free Wifi,9.4,Istimewa,147,778.947,5,555.000,444,1,08-12-2021
Infiniti Hotel,Jakarta Barat,Free Wifi,8.9,Luar Biasa,18,430.510,35,176.294,141,1,08-12-2021
Kyriad Hotel Metro Kebayoran,Jakarta Selatan,Free Wifi,8.8,Luar Biasa,173,683.761,35,444.445,355,1,08-12-2021
Teraskita Hotel ,Jakarta Timur,Free Wifi,9.1,Istimewa,96,831.027,5,552.633,442,1,08-12-2021
Oak Tree Urban Hotel ,Jakarta Selatan,Free Wifi,7.7,Sangat Baik,41,740.827,5,492.650,394,1,08-12-2021
Cabin Hotel,Jakarta Utara,Free Wifi,8.5,Luar Biasa,1053,593.820,35,385.983,308,1,08-12-2021
Sans Hotel Roxy ,Jakarta Pusat,Free Wifi,9.6,Istimewa,13,534.858,5,279.464,223,1,08-12-2021
Samala Hotel ,Jakarta Barat,Free Wifi,8.8,Luar Biasa,66,1.000.000,35,377.000,301,1,08-12-2021
"The Gloria Suites Grogol, ",Jakarta Barat,Free Wifi,8.0,Sangat Baik,330,800.000,25,358.800,287,1,08-12-2021
Puri Mega Hotel,Jakarta Timur,Free Wifi,8.2,Luar Biasa,146,500.000,27,258.440,206,1,08-12-2021
Whiz Prime Hotel Kelapa Gading,Jakarta Utara,Free Wifi,8.5,Luar Biasa,361,778.496,35,404.818,323,1,08-12-2021
Red Planet ,Jakarta Pusat,Free Wifi,8.6,Luar Biasa,1021,410.526,5,234.000,187,1,08-12-2021
Hotel Bulevar Tanjung Duren,Jakarta Barat,No,7.2,Sangat Baik,82,421.052,5,260.000,208,1,08-12-2021
d'primahotel ITC Mangga Dua,Jakarta Pusat,Free Wifi,8.5,Luar Biasa,33,400.000,23,263.500,210,1,08-12-2021
Sentral Cawang Hotel,Jakarta Timur,Free Wifi,9.1,Istimewa,8,500.000,24,381.828,305,1,08-12-2021
Whiz Hotel Falatehan ,Jakarta Selatan,Free Wifi,8.6,Luar Biasa,62,461.538,35,240.000,192,1,08-12-2021
POP! Hotel Tebet ,Jakarta Selatan,Free Wifi,8.6,Luar Biasa,312,398.000,5,283.575,226,1,08-12-2021
d'primahotel Melawai,Jakarta Selatan,Free Wifi,9.0,Luar Biasa,32,520.000,34,292.296,233,1,08-12-2021
De Green Inn Kebon Jeruk,Jakarta Barat,No,7.5,Sangat Baik,5,500.000,34,214.500,171,1,08-12-2021
Social Hub by TwoSpaces,Jakarta Barat,Free Wifi,9.8,Istimewa,13,141.275,5,114.080,91,1,08-12-2021
Nite & Day ,Jakarta Barat,Free Wifi,8.4,Luar Biasa,66,461.538,35,207.000,165,1,08-12-2021
LeGreen Suite Kuningan,Jakarta Selatan,Free Wifi,8.0,Sangat Baik,110,511.578,5,243.000,194,1,08-12-2021
