name_hotel,location_hotel,Free_Wifi_hotel,rating_hotel_num,rating_hotel_text,rating_hotel_qty,normal_price_hotel,discount_hotel,discount_price_hotel,reward_point_hotel,room,date,city
Maple Hotel Grogol,Jakarta Barat,Free Wifi,8.4,Luar Biasa,124,708000.0,31,292800.0,234,1,2021-08-12,Jakarta
Juno Jatinegara,Jakarta Timur,Free Wifi,8.8,Luar Biasa,55,500000.0,26,259622.0,207,1,2021-08-12,Jakarta
Oakwood PIK,Jakarta Utara,Free Wifi,8.7,Luar Biasa,6,2000000.0,16,1344000.0,1075,1,2021-08-12,Jakarta
N2 Hotel Gunung Sahari,Jakarta Pusat,Free Wifi,8.0,Sangat Baik,38,374692.0,35,146130.0,116,1,2021-08-12,Jakarta
Kimaya Slipi,Jakarta Barat,Free Wifi,8.4,Luar Biasa,0,474998.0,5,383562.0,306,1,2021-08-12,Jakarta
Asyana Kemayoran,Jakarta Pusat,Free Wifi,8.6,Luar Biasa,16,832123.0,35,324528.0,259,1,2021-08-12,Jakarta
W Home Express Tebet,Jakarta Selatan,Free Wifi,8.7,Luar Biasa,8,284030.0,5,202372.0,161,1,2021-08-12,Jakarta
Grand Whiz Poins Simatupang,Jakarta Selatan,Free Wifi,8.9,Luar Biasa,226,850000.0,25,512131.0,409,1,2021-08-12,Jakarta
Verse Luxe Hotel Wahid Hasyim,Jakarta Pusat,Free Wifi,8.6,Luar Biasa,54,1559455.0,5,1037038.0,829,1,2021-08-12,Jakarta
Whiz Hotel Cikini,Jakarta Pusat,Free Wifi,8.2,Luar Biasa,110,600000.0,34,317200.0,253,1,2021-08-12,Jakarta
Hotel Horison Ciledug,Jakarta Selatan,Free Wifi,9.4,Istimewa,147,778947.0,5,555000.0,444,1,2021-08-12,Jakarta
Infiniti Hotel,Jakarta Barat,Free Wifi,8.9,Luar Biasa,18,430510.0,35,176294.0,141,1,2021-08-12,Jakarta
Kyriad Hotel Metro Kebayoran,Jakarta Selatan,Free Wifi,8.8,Luar Biasa,173,683761.0,35,444445.0,355,1,2021-08-12,Jakarta
Teraskita Hotel,Jakarta Timur,Free Wifi,9.1,Istimewa,96,831027.0,5,552633.0,442,1,2021-08-12,Jakarta
Oak Tree Urban Hotel,Jakarta Selatan,Free Wifi,7.7,Sangat Baik,41,740827.0,5,492650.0,394,1,2021-08-12,Jakarta
Cabin Hotel,Jakarta Utara,Free Wifi,8.5,Luar Biasa,1053,593820.0,35,385983.0,308,1,2021-08-12,Jakarta
Sans Hotel Roxy,Jakarta Pusat,Free Wifi,9.6,Istimewa,13,534858.0,5,279464.0,223,1,2021-08-12,Jakarta
Samala Hotel,Jakarta Barat,Free Wifi,8.8,Luar Biasa,66,1000000.0,35,377000.0,301,1,2021-08-12,Jakarta
"The Gloria Suites Grogol,",Jakarta Barat,Free Wifi,8.0,Sangat Baik,330,800000.0,25,358800.0,287,1,2021-08-12,Jakarta
Puri Mega Hotel,Jakarta Timur,Free Wifi,8.2,Luar Biasa,146,500000.0,27,258440.0,206,1,2021-08-12,Jakarta
Whiz Prime Hotel Kelapa Gading,Jakarta Utara,Free Wifi,8.5,Luar Biasa,361,778496.0,35,404818.0,323,1,2021-08-12,Jakarta
Red Planet,Jakarta Pusat,Free Wifi,8.6,Luar Biasa,1021,410526.0,5,234000.0,187,1,2021-08-12,Jakarta
Hotel Bulevar Tanjung Duren,Jakarta Barat,No,7.2,Sangat Baik,82,421052.0,5,260000.0,208,1,2021-08-12,Jakarta
d'primahotel ITC Mangga Dua,Jakarta Pusat,Free Wifi,8.5,Luar Biasa,33,400000.0,23,263500.0,210,1,2021-08-12,Jakarta
Sentral Cawang Hotel,Jakarta Timur,Free Wifi,9.1,Istimewa,8,500000.0,24,381828.0,305,1,2021-08-12,Jakarta
Whiz Hotel Falatehan,Jakarta Selatan,Free Wifi,8.6,Luar Biasa,62,461538.0,35,240000.0,192,1,2021-08-12,Jakarta
POP! Hotel Tebet,Jakarta Selatan,Free Wifi,8.6,Luar Biasa,312,398000.0,5,283575.0,226,1,2021-08-12,Jakarta
d'primahotel Melawai,Jakarta Selatan,Free Wifi,9.0,Luar Biasa,32,520000.0,34,292296.0,233,1,2021-08-12,Jakarta
De Green Inn Kebon Jeruk,Jakarta Barat,No,7.5,Sangat Baik,5,500000.0,34,214500.0,171,1,2021-08-12,Jakarta
Social Hub by TwoSpaces,Jakarta Barat,Free Wifi,9.8,Istimewa,13,141275.0,5,114080.0,91,1,2021-08-12,Jakarta
Nite & Day,Jakarta Barat,Free Wifi,8.4,Luar Biasa,66,461538.0,35,207000.0,165,1,2021-08-12,Jakarta
LeGreen Suite Kuningan,Jakarta Selatan,Free Wifi,8.0,Sangat Baik,110,511578.0,5,243000.0,194,1,2021-08-12,Jakarta
Golden Mansion Kost,Jakarta Selatan,Free Wifi,8.3,Luar Biasa,11,325000.0,23,175000.0,140,1,2021-08-12,Jakarta
Wisma Rembulan,Jakarta Selatan,Free Wifi,8.2,Luar Biasa,16,289473.0,5,137500.0,110,1,2021-08-12,Jakarta
Mahakam24 Residence,Jakarta Selatan,Free Wifi,8.0,Sangat Baik,5,575000.0,34,247000.0,197,1,2021-08-12,Jakarta
Tamansari Agung Residence,Jakarta Barat,Free Wifi,7.6,Sangat Baik,27,307692.0,35,120000.0,96,1,2021-08-12,Jakarta
Horison Falatehan -,Jakarta Selatan,Free Wifi,8.2,Luar Biasa,40,266666.0,5,190000.0,152,1,2021-08-12,Jakarta
BI Executive Hotel,Jakarta Utara,Free Wifi,9.5,Istimewa,73,780000.0,23,420000.0,336,1,2021-08-12,Jakarta
K-Style Eco Hotel,Jakarta Pusat,Free Wifi,8.1,Luar Biasa,19,410343.0,35,173370.0,138,1,2021-08-12,Jakarta
RedDoorz Plus near Blok M Square,Jakarta Selatan,Free Wifi,9.1,Istimewa,32,383665.0,5,200465.0,160,1,2021-08-12,Jakarta
De Green Residence,Jakarta Barat,Free Wifi,7.9,Sangat Baik,17,400000.0,31,178750.0,143,1,2021-08-12,Jakarta
LeGreen Suite Penjernihan,Jakarta Pusat,Free Wifi,8.1,Luar Biasa,55,600000.0,10,324000.0,259,1,2021-08-12,Jakarta
N1 Hotel Tanah Abang,Jakarta Pusat,Free Wifi,7.2,Sangat Baik,22,553846.0,35,165600.0,132,1,2021-08-12,Jakarta
Residence T63,Jakarta Barat,Free Wifi,8.0,Sangat Baik,29,231578.0,5,110000.0,88,1,2021-08-12,Jakarta
Wisma Mandala,Jakarta Barat,Free Wifi,6.8,Baik,8,315789.0,5,90000.0,72,1,2021-08-12,Jakarta
Verse Lite Hotel Gajah Mada,Jakarta Pusat,Free Wifi,8.5,Luar Biasa,97,652278.0,5,371799.0,297,1,2021-08-12,Jakarta
Vayassi House Syariah,Jakarta Selatan,Free Wifi,9.6,Istimewa,4,423923.0,35,165330.0,132,1,2021-08-12,Jakarta
N Hotel Harmoni,Jakarta Pusat,Free Wifi,8.4,Luar Biasa,24,350000.0,21,159500.0,127,1,2021-08-12,Jakarta
Nusalink Near Trisakti 1,Jakarta Barat,Free Wifi,7.2,Sangat Baik,8,231578.0,5,110000.0,88,1,2021-08-12,Jakarta
Hotel Bintang Baru,Jakarta Pusat,Free Wifi,8.4,Luar Biasa,0,305263.0,5,290000.0,232,1,2021-08-12,Jakarta
LeGreen Suite Supomo,Jakarta Selatan,Free Wifi,8.4,Luar Biasa,52,463157.0,5,218240.0,174,1,2021-08-12,Jakarta
Zuri Express Mangga Dua,Jakarta Pusat,Free Wifi,8.6,Luar Biasa,113,860188.0,5,612884.0,490,1,2021-08-12,Jakarta
OYO 90244 Hotel Antara,Jakarta Pusat,Free Wifi,6.6,Baik,5,294173.0,5,217983.0,174,1,2021-08-12,Jakarta
Liberty Hotel Thamrin,Jakarta Pusat,Free Wifi,9.3,Istimewa,19,763157.0,5,543750.0,435,1,2021-08-12,Jakarta
Namora Residence by Ruang Nyaman,Jakarta Timur,Free Wifi,6.4,Luar Biasa,6,423070.0,5,241150.0,192,1,2021-08-12,Jakarta
Puri Jaya Hotel,Jakarta Pusat,Free Wifi,8.0,Sangat Baik,262,461538.0,35,249000.0,199,1,2021-08-12,Jakarta
Horison Suite & Residences Rasuna,Jakarta Selatan,Free Wifi,8.4,Luar Biasa,0,916084.0,5,652710.0,522,1,2021-08-12,Jakarta
d'primahotel WTC Mangga Dua,Jakarta Utara,Free Wifi,8.9,Luar Biasa,66,470000.0,21,314500.0,251,1,2021-08-12,Jakarta
Graha Kasih,Jakarta Barat,Free Wifi,5.3,Luar Biasa,5,310000.0,5,117800.0,94,1,2021-08-12,Jakarta
Yellow Bee Tanah Abang,Jakarta Pusat,Free Wifi,7.0,Baik,4,278641.0,5,185296.0,148,1,2021-08-12,Jakarta
LeGreen Home Setiabudi,Jakarta Selatan,Free Wifi,7.9,Sangat Baik,108,500000.0,10,223200.0,178,1,2021-08-12,Jakarta
RedDoorz near Transmart Kalimalang,Jakarta Timur,Free Wifi,8.4,Luar Biasa,0,273684.0,5,247000.0,197,1,2021-08-12,Jakarta
Plaza 68 Residence,Jakarta Selatan,Free Wifi,8.7,Luar Biasa,6,495000.0,35,225225.0,180,1,2021-08-12,Jakarta
The Kartini 8 Residence Mangga Besar,Jakarta Pusat,Free Wifi,7.9,Sangat Baik,3,338000.0,12,178800.0,143,1,2021-08-12,Jakarta
Nusalink Near Tanah Abang Eco 1,Jakarta Pusat,Free Wifi,8.6,Luar Biasa,3,365538.0,35,130680.0,104,1,2021-08-12,Jakarta
Bobobox Pods Kota Tua,Jakarta Barat,Free Wifi,9.2,Istimewa,4,184863.0,5,131715.0,105,1,2021-08-12,Jakarta
Kamargue Residence,Jakarta Pusat,Free Wifi,6.9,Baik,20,268421.0,5,137700.0,110,1,2021-08-12,Jakarta
Collection O 38 Grand Palace 2,Jakarta Pusat,Free Wifi,8.4,Luar Biasa,0,705301.0,5,522628.0,418,1,2021-08-12,Jakarta
LeGreen Suite Tondano,Jakarta Pusat,Free Wifi,7.7,Sangat Baik,59,631578.0,5,360000.0,288,1,2021-08-12,Jakarta
Anggrek Residence,Jakarta Selatan,Free Wifi,6.2,Luar Biasa,6,249811.0,5,166125.0,132,1,2021-08-12,Jakarta
De 80's Genteng Ijo,Jakarta Selatan,Free Wifi,7.6,Sangat Baik,1,487384.0,35,190080.0,152,1,2021-08-12,Jakarta
City Icon Residence,Jakarta Pusat,Free Wifi,7.3,Sangat Baik,52,319869.0,5,188403.0,150,1,2021-08-12,Jakarta
LeGreen Suite Pejompongan,Jakarta Pusat,Free Wifi,7.6,Sangat Baik,46,500000.0,11,220720.0,176,1,2021-08-12,Jakarta
Kemang Eleven,Jakarta Selatan,Free Wifi,7.8,Sangat Baik,2,361263.0,5,257400.0,205,1,2021-08-12,Jakarta
Nusalink Near Kebayoran Lama,Jakarta Selatan,Free Wifi,8.4,Luar Biasa,0,284210.0,5,148500.0,118,1,2021-08-12,Jakarta
LeGreen Suite Poso,Jakarta Pusat,Free Wifi,7.8,Sangat Baik,65,673684.0,5,384000.0,307,1,2021-08-12,Jakarta
LeGreen Suite Gatot Subroto,Jakarta Pusat,Free Wifi,8.3,Luar Biasa,68,500000.0,12,218240.0,174,1,2021-08-12,Jakarta
Saffron Suites Syariah,Jakarta Selatan,Free Wifi,9.5,Istimewa,18,222589.0,5,211460.0,169,1,2021-08-12,Jakarta
Kejora Homestay,Jakarta Utara,Free Wifi,9.4,Istimewa,2,346153.0,35,180000.0,144,1,2021-08-12,Jakarta
LeGreen Home Tebet,Jakarta Selatan,Free Wifi,7.2,Sangat Baik,71,600000.0,10,324000.0,259,1,2021-08-12,Jakarta
Goodrich Suites by Artotel,Jakarta Selatan,Free Wifi,6.3,Luar Biasa,6,2368421.0,5,1687500.0,1350,1,2021-08-12,Jakarta
Cordela Senen,Jakarta Pusat,No,8.9,Luar Biasa,135,347368.0,5,330000.0,264,1,2021-08-12,Jakarta
LeGreen Suite Senayan,Jakarta Pusat,Free Wifi,7.9,Sangat Baik,106,500000.0,12,218240.0,174,1,2021-08-12,Jakarta
Nusalink Puri Maju Near Jelambar,Jakarta Barat,Free Wifi,8.0,Sangat Baik,1,472000.0,5,246620.0,197,1,2021-08-12,Jakarta
Nusalink AMS Near Mangga Besar,Jakarta Barat,Free Wifi,8.4,Luar Biasa,0,350526.0,5,183150.0,146,1,2021-08-12,Jakarta
Wonderloft Hostel,Jakarta Barat,Free Wifi,8.4,Luar Biasa,5,333473.0,5,228096.0,182,1,2021-08-12,Jakarta
Nusalink Elani Syariah Near Senen,Jakarta Pusat,Free Wifi,8.4,Luar Biasa,0,420000.0,5,219450.0,175,1,2021-08-12,Jakarta
NYENYAK MRT Lebak Bulus I Simatupang,Jakarta Selatan,Free Wifi,9.8,Istimewa,12,221052.0,5,210000.0,168,1,2021-08-12,Jakarta
Apartment Bassura City by Travelibu,Jakarta Timur,Free Wifi,8.4,Luar Biasa,0,361714.0,5,240540.0,192,1,2021-08-12,Jakarta
KLINPOD Hotel,Jakarta Barat,Free Wifi,8.4,Luar Biasa,0,271393.0,5,193368.0,154,1,2021-08-12,Jakarta
Kyriad Hotel Fatmawati,Jakarta Selatan,Free Wifi,9.2,Istimewa,35,646324.0,35,336089.0,268,1,2021-08-12,Jakarta
RedDoorz Plus near Plaza Blok M,Jakarta Selatan,Free Wifi,8.8,Luar Biasa,15,259736.0,5,222075.0,177,1,2021-08-12,Jakarta
Green Bamboo Residence,Jakarta Selatan,Free Wifi,7.9,Sangat Baik,255,232973.0,5,221325.0,177,1,2021-08-12,Jakarta
Arthama Hotel Wahid Hasyim,Jakarta Pusat,Free Wifi,8.6,Luar Biasa,32,600000.0,7,459200.0,367,1,2021-08-12,Jakarta
Park 5 Simatupang,Jakarta Selatan,Free Wifi,9.2,Istimewa,465,700000.0,30,490900.0,392,1,2021-08-12,Jakarta
Hotel 55 International,Jakarta Barat,Free Wifi,8.0,Sangat Baik,253,188421.0,5,179000.0,143,1,2021-08-12,Jakarta
RedDoorz Plus near RSCM,Jakarta Pusat,Free Wifi,8.0,Sangat Baik,15,296421.0,5,154880.0,123,1,2021-08-12,Jakarta
Hotel Belvena,Jakarta Barat,Free Wifi,6.9,Baik,40,136315.0,5,129500.0,103,1,2021-08-12,Jakarta
Feodora Hotel Grogol,Jakarta Barat,Free Wifi,7.7,Sangat Baik,87,256475.0,5,243652.0,194,1,2021-08-12,Jakarta
RedDoorz Plus @ Jalan Pemuda,Jakarta Timur,Free Wifi,7.8,Sangat Baik,72,366105.0,5,191290.0,153,1,2021-08-12,Jakarta
Penthouse Hotel,Jakarta Barat,Free Wifi,8.4,Luar Biasa,6,147368.0,5,140000.0,112,1,2021-08-12,Jakarta
Rumanami Residence,Jakarta Selatan,Free Wifi,9.4,Istimewa,58,600000.0,33,405000.0,324,1,2021-08-12,Jakarta
Fieris Hotel,Jakarta Timur,Free Wifi,10.0,Istimewa,1,552631.0,5,525000.0,420,1,2021-08-12,Jakarta
Titi Guest House,Jakarta Barat,Free Wifi,9.0,Luar Biasa,7,157894.0,5,150000.0,120,1,2021-08-12,Jakarta
RedDoorz near RS Husada,Jakarta Pusat,Free Wifi,7.1,Sangat Baik,21,233525.0,5,122017.0,97,1,2021-08-12,Jakarta
Flamboyan Residence,Jakarta Selatan,Free Wifi,8.0,Sangat Baik,4,400000.0,35,260000.0,208,1,2021-08-12,Jakarta
RedDoorz near Central Park Mall,Jakarta Barat,Free Wifi,9.2,Istimewa,7,253412.0,5,132408.0,105,1,2021-08-12,Jakarta
Hotel Rivoli Senen,Jakarta Pusat,Free Wifi,8.5,Luar Biasa,146,463128.0,5,360777.0,288,1,2021-08-12,Jakarta
OYO 115 Portal Residence,Jakarta Barat,Free Wifi,9.1,Istimewa,12,227366.0,5,215998.0,172,1,2021-08-12,Jakarta
RedDoorz Plus @ TB Simatupang,Jakarta Selatan,Free Wifi,8.6,Luar Biasa,26,540947.0,5,436815.0,349,1,2021-08-12,Jakarta
OYO 3300 Nadjara Residence Syariah,Jakarta Selatan,Free Wifi,5.1,Luar Biasa,5,188195.0,5,139453.0,111,1,2021-08-12,Jakarta
RedDoorz near Kebayoran Baru Blok S,Jakarta Selatan,Free Wifi,7.4,Sangat Baik,2,315789.0,5,300000.0,240,1,2021-08-12,Jakarta
Picasso Style,Jakarta Barat,Free Wifi,9.6,Istimewa,4,555789.0,5,528000.0,422,1,2021-08-12,Jakarta
favehotel Melawai,Jakarta Selatan,Free Wifi,8.4,Luar Biasa,239,664615.0,35,432000.0,345,1,2021-08-12,Jakarta
RedDoorz @ Panglima Polim 2,Jakarta Selatan,Free Wifi,7.2,Sangat Baik,2,316000.0,5,279186.0,223,1,2021-08-12,Jakarta
OYO Townhouse 1 Hotel Salemba Near RS PGI Cikini,Jakarta Pusat,Free Wifi,7.7,Sangat Baik,20,344991.0,5,255639.0,204,1,2021-08-12,Jakarta
Bobobox Pods Pancoran,Jakarta Selatan,Free Wifi,9.4,Istimewa,8,226336.0,5,215020.0,172,1,2021-08-12,Jakarta
RedDoorz near Pasar Baru 3,Jakarta Pusat,Free Wifi,7.7,Sangat Baik,10,322105.0,5,168300.0,134,1,2021-08-12,Jakarta
RedDoorz Plus near Dunia Fantasi Ancol,Jakarta Utara,Free Wifi,9.3,Istimewa,12,359100.0,5,341145.0,272,1,2021-08-12,Jakarta
Cool Living,Jakarta Pusat,Free Wifi,9.2,Istimewa,9,382816.0,5,363676.0,290,1,2021-08-12,Jakarta
RedDoorz Plus near Ancol,Jakarta Utara,Free Wifi,9.4,Istimewa,39,470250.0,5,245706.0,196,1,2021-08-12,Jakarta
RedDoorz Plus near GBK Senayan,Jakarta Barat,Free Wifi,9.4,Istimewa,18,303947.0,5,288750.0,231,1,2021-08-12,Jakarta
Residence 100,Jakarta Pusat,Free Wifi,7.7,Sangat Baik,25,225000.0,31,155000.0,124,1,2021-08-12,Jakarta
Bobobox Pods Kebayoran Baru,Jakarta Selatan,Free Wifi,9.6,Istimewa,7,320000.0,32,218450.0,174,1,2021-08-12,Jakarta
Bale Resident,Jakarta Selatan,Free Wifi,7.7,Sangat Baik,3,450000.0,16,209000.0,167,1,2021-08-12,Jakarta
The Kuningan Suites,Jakarta Selatan,Free Wifi,8.5,Luar Biasa,6,3035000.0,34,1400000.0,1120,1,2021-08-12,Jakarta
Ra Premiere Simatupang,Jakarta Selatan,Free Wifi,9.2,Istimewa,18,1025615.0,35,666650.0,533,1,2021-08-12,Jakarta
RedDoorz near Binus Anggrek 2,Jakarta Barat,Free Wifi,9.6,Istimewa,2,227368.0,5,216000.0,172,1,2021-08-12,Jakarta
RedDoorz Plus near Lippo Mall Kemang 2,Jakarta Selatan,Free Wifi,8.9,Luar Biasa,6,356863.0,5,322069.0,257,1,2021-08-12,Jakarta
RedDoorz near Hayam Wuruk,Jakarta Barat,Free Wifi,6.2,Luar Biasa,6,186157.0,5,176850.0,141,1,2021-08-12,Jakarta
RedDoorz near Tarumanagara University,Jakarta Barat,Free Wifi,8.3,Luar Biasa,9,287368.0,5,150150.0,120,1,2021-08-12,Jakarta
RedDoorz Plus near Senen,Jakarta Pusat,Free Wifi,5.9,Luar Biasa,5,245737.0,5,128398.0,102,1,2021-08-12,Jakarta
